Class,Baseline_F1,ClassWeight_F1,SMOTE_ENN_F1,Hybrid_F1
backdoor,0.9892260061919504,0.9747283603955561,0.9193884642112579,0.9228086491513602
ddos,0.8790743966160737,0.8730021063065295,0.8471626132570339,0.8484197972570066
dos,0.943943943943944,0.9534518828451883,0.9283322170127261,0.9283322170127261
injection,0.6652012956964368,0.6256385307711019,0.5555337519623234,0.5507887649095806
mitm,0.20074349442379183,0.27331887201735355,0.20394736842105263,0.19037974683544304
normal,0.9821946583975193,0.978552958474877,0.9323136153165809,0.9321672132854392
password,0.6749796692870697,0.6502970297029703,0.5527089458210835,0.5485026508095716
ransomware,0.9483772041911577,0.9441506513607636,0.7055657022012881,0.7178435394081454
scanning,0.937230849536735,0.9304983388704319,0.8217683268047006,0.8214285714285714
xss,0.8602880899402741,0.8557703854929747,0.0,0.0
