Index,RollingAccuracy,KSStatistic,PValue
1000,0.875,0.0,1.0
1100,0.884,0.009,0.9999999999993714
1200,0.882,0.005,1.0
1300,0.892,0.009,0.9999999999993714
1400,0.888,0.014,0.9999734060177973
1500,0.888,0.022,0.9690010280430694
1600,0.878,0.013,0.9999962022688547
1700,0.886,0.015,0.9998734489003387
1800,0.884,0.015,0.9998734489003387
1900,0.886,0.021,0.9802627322900355
2000,0.883,0.025,0.9136894237272155
2100,0.873,0.023,0.9542189106778983
2200,0.873,0.024,0.9357699014782725
2300,0.863,0.03,0.7593695685682871
2400,0.869,0.03,0.7593695685682871
2500,0.867,0.032,0.6854967337920594
2600,0.866,0.031,0.7228251828701066
2700,0.867,0.024,0.9357699014782725
2800,0.87,0.019,0.9937026761524456
2900,0.871,0.022,0.9690010280430694
3000,0.868,0.013,0.9999962022688547
3100,0.873,0.011,0.9999999867571524
3200,0.866,0.019,0.9937026761524456
3300,0.869,0.017,0.9987234512860412
3400,0.868,0.017,0.9987234512860412
3500,0.87,0.013,0.9999962022688547
3600,0.879,0.02,0.9883339509983219
3700,0.875,0.019,0.9937026761524456
3800,0.876,0.013,0.9999962022688547
3900,0.869,0.012,0.999999678182
4000,0.872,0.01,0.999999999805234
4100,0.871,0.012,0.999999678182
4200,0.874,0.009,0.9999999999993714
4300,0.88,0.015,0.9998734489003387
4400,0.884,0.017,0.9987234512860412
4500,0.883,0.013,0.9999962022688547
4600,0.877,0.017,0.9987234512860412
4700,0.875,0.029,0.7946637387576738
4800,0.871,0.031,0.7228251828701066
4900,0.872,0.02,0.9883339509983219
5000,0.877,0.019,0.9937026761524456
5100,0.876,0.017,0.9987234512860412
5200,0.872,0.018,0.9969602438295625
5300,0.865,0.016,0.9995502785541052
5400,0.859,0.017,0.9987234512860412
5500,0.853,0.029,0.7946637387576738
5600,0.861,0.033,0.647814872077161
5700,0.859,0.043,0.3136800387320582
5800,0.855,0.039,0.43260886958153144
5900,0.859,0.03,0.7593695685682871
6000,0.86,0.018,0.9969602438295625
6100,0.864,0.021,0.9802627322900355
6200,0.875,0.019,0.9937026761524456
6300,0.88,0.023,0.9542189106778983
6400,0.883,0.023,0.9542189106778983
6500,0.892,0.026,0.8881734182535203
6600,0.895,0.019,0.9937026761524456
6700,0.9,0.024,0.9357699014782725
6800,0.902,0.021,0.9802627322900355
6900,0.901,0.022,0.9690010280430694
7000,0.891,0.022,0.9690010280430694
7100,0.889,0.013,0.9999962022688547
7200,0.879,0.02,0.9883339509983219
7300,0.875,0.021,0.9802627322900355
7400,0.872,0.025,0.9136894237272155
7500,0.871,0.021,0.9802627322900355
7600,0.862,0.018,0.9969602438295625
7700,0.86,0.016,0.9995502785541052
7800,0.86,0.019,0.9937026761524456
7900,0.864,0.016,0.9995502785541052
8000,0.868,0.021,0.9802627322900355
8100,0.87,0.017,0.9987234512860412
8200,0.875,0.022,0.9690010280430694
8300,0.876,0.025,0.9136894237272155
8400,0.882,0.025,0.9136894237272155
